trial,min_weight_on_accessible,max_blocked,sum_blocked
202,0.197113,0.0000000000,0.0000000000
203,0.199137,0.0000000000,0.0000000000
204,0.196392,0.0000000000,0.0000000000
205,0.199277,0.0000000000,0.0000000000
206,0.195789,0.0000000000,0.0000000000
207,0.198771,0.0000000000,0.0000000000
208,0.199035,0.0000000000,0.0000000000
209,0.194171,0.0000000000,0.0000000000
210,0.197695,0.0000000000,0.0000000000
211,0.196962,0.0000000000,0.0000000000
212,0.197441,0.0000000000,0.0000000000
213,0.196063,0.0000000000,0.0000000000
214,0.197601,0.0000000000,0.0000000000
215,0.196930,0.0000000000,0.0000000000
216,0.196089,0.0000000000,0.0000000000
217,0.195987,0.0000000000,0.0000000000
218,0.195825,0.0000000000,0.0000000000
219,0.197388,0.0000000000,0.0000000000
220,0.197616,0.0000000000,0.0000000000
221,0.193510,0.0000000000,0.0000000000
